Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Lycoris Recoil,2022,8.17,Finished,13,['Action'],Original
Magi: Sinbad no Bouken (TV),2016,7.84,Finished,13,"['Action', 'Adventure', 'Fantasy']",Manga
Fate/Apocrypha,2017,7.19,Finished,25,"['Action', 'Fantasy', 'Supernatural']",Light novel
Boruto: Naruto the Movie,2015,7.39,Finished,1,"['Action', 'Adventure', 'Fantasy']",Manga
Shingeki no Kyojin OVA,2013,7.88,Finished,3,"['Action', 'Drama']",Manga
Toaru Majutsu no Index II,2010,7.52,Finished,24,"['Action', 'Fantasy', 'Sci-Fi']",Light novel
Kizumonogatari III: Reiketsu-hen,2017,8.78,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
Houseki no Kuni,2017,8.39,Finished,12,"['Action', 'Drama', 'Fantasy', 'Mystery']",Manga
Kaze no Stigma,2007,7.17,Finished,24,"['Action', 'Fantasy', 'Romance']",Light novel
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,2017,8.16,Finished,1,"['Action', 'Fantasy', 'Supernatural']",Visual novel
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,2017,7.07,Finished,12,"['Action', 'Adventure', 'Fantasy']",Light novel
Zero no Tsukaima: Princesses no Rondo,2008,7.32,Finished,12,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Evangelion Movie 3: Q,2012,7.64,Finished,1,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense']",Original
Kizumonogatari II: Nekketsu-hen,2016,8.57,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
Spy x Family Season 2,2023,8.08,Finished,12,"['Action', 'Comedy']",Source
Kekkai Sensen & Beyond,2017,7.78,Finished,12,"['Action', 'Fantasy']",Manga
No.6,2011,7.56,Finished,11,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",Novel
