Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Tomo-chan wa Onnanoko!,2023,7.8,Finished,13,"['Comedy', 'Romance']",Web manga
Hidan no Aria,2011,6.79,Finished,12,"['Action', 'Comedy', 'Romance', 'Ecchi']",Light novel
Jaku-Chara Tomozaki-kun,2021,7.12,Finished,12,"['Drama', 'Romance']",Light novel
Baka to Test to Shoukanjuu Ni!,2011,7.67,Finished,13,"['Comedy', 'Romance']",Light novel
To LOVE-Ru Darkness,2012,7.42,Finished,12,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",Manga
Hundred,2016,6.31,Finished,12,"['Action', 'Romance', 'Sci-Fi', 'Ecchi']",Light novel
Kishuku Gakkou no Juliet,2018,7.45,Finished,12,"['Action', 'Comedy', 'Romance']",Manga
Renai Boukun,2017,6.61,Finished,12,"['Comedy', 'Romance', 'Supernatural']",Web manga
Vampire Knight Guilty,2008,7.09,Finished,13,"['Drama', 'Mystery', 'Romance', 'Supernatural']",Manga
Kanojo mo Kanojo,2021,6.54,Finished,12,"['Comedy', 'Romance']",Manga
Special A,2008,7.5,Finished,24,"['Comedy', 'Romance']",Source
Saenai Heroine no Sodatekata ♭,2017,7.76,Finished,11,"['Comedy', 'Romance', 'Ecchi']",Light novel
"Tantei wa Mou, Shindeiru.",2021,6.39,Finished,12,"['Comedy', 'Mystery', 'Romance']",Light novel
Seireitsukai no Blade Dance,2014,6.68,Finished,12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Mimi wo Sumaseba,1995,8.22,Finished,1,"['Drama', 'Romance']",Manga
Seirei Gensouki,2021,7.06,Finished,12,"['Action', 'Adventure', 'Fantasy', 'Romance']",Light novel
Akagami no Shirayuki-hime 2nd Season,2016,7.97,Finished,12,"['Drama', 'Fantasy', 'Romance']",Manga
Arakawa Under the Bridge,2010,7.56,Finished,13,"['Comedy', 'Romance']",Manga
Bakuman. 2nd Season,2011,8.34,Finished,25,"['Comedy', 'Drama', 'Romance']",Manga
Danna ga Nani wo Itteiru ka Wakaranai Ken,2014,7.28,Finished,13,"['Comedy', 'Romance']",4-koma manga
Mahouka Koukou no Rettousei: Raihousha-hen,2020,7.28,Finished,13,"['Action', 'Fantasy', 'Romance', 'Sci-Fi']",Light novel
Rikei ga Koi ni Ochita no de Shoumei shitemita.,2020,7.35,Finished,12,"['Comedy', 'Romance']",Web manga
Kami nomi zo Shiru Sekai: Megami-hen,2013,7.99,Finished,12,"['Comedy', 'Romance', 'Supernatural']",Manga
3D Kanojo: Real Girl,2018,6.85,Finished,12,['Romance'],Manga
Imouto sae Ireba Ii.,2017,7.26,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
Kotoura-san,2013,7.16,Finished,12,"['Comedy', 'Romance', 'Supernatural']",4-koma manga
Bokutachi no Remake,2021,7.4,Finished,12,"['Drama', 'Romance']",Light novel
Araburu Kisetsu no Otome-domo yo.,2019,7.32,Finished,12,"['Comedy', 'Drama', 'Romance']",Manga
Kaze Tachinu,2013,8.11,Finished,1,"['Award Winning', 'Drama', 'Romance']",Manga
Irozuku Sekai no Ashita kara,2018,7.52,Finished,13,"['Drama', 'Fantasy', 'Romance']",Original
Kokoro ga Sakebitagatterunda.,2015,7.81,Finished,1,"['Drama', 'Romance']",Original
Kiss x Sis,2008,6.82,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Manga
Bakuman. 3rd Season,2012,8.53,Finished,25,"['Comedy', 'Drama', 'Romance']",Manga
Aharen-san wa Hakarenai,2022,7.29,Finished,12,"['Comedy', 'Romance']",Manga
Seto no Hanayome,2007,7.66,Finished,26,"['Comedy', 'Romance']",Source
School Rumble,2004,7.89,Finished,26,"['Comedy', 'Romance']",Manga
Freezing,2011,6.79,Finished,12,"['Action', 'Drama', 'Romance', 'Sci-Fi', 'Ecchi']",Manga
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,2019,6.49,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
Acchi Kocchi,2012,7.47,Finished,12,"['Comedy', 'Romance']",4-koma manga
Nazo no Kanojo X,2012,7.23,Finished,13,['Romance'],Manga
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",2021,6.94,Finished,13,"['Adventure', 'Fantasy', 'Romance']",Source
Nodame Cantabile,2007,8.26,Finished,23,"['Comedy', 'Romance']",Manga
Soredemo Sekai wa Utsukushii,2014,7.59,Finished,12,"['Adventure', 'Fantasy', 'Romance']",Manga
Taimadou Gakuen 35 Shiken Shoutai,2015,6.81,Finished,12,"['Action', 'Fantasy', 'Romance', 'Ecchi']",Light novel
Seiken Tsukai no World Break,2015,6.77,Finished,12,"['Action', 'Fantasy', 'Romance']",Light novel
Shakugan no Shana II (Second),2007,7.55,Finished,24,"['Action', 'Drama', 'Fantasy', 'Romance']",Light novel
Grancrest Senki,2018,7.22,Finished,24,"['Action', 'Drama', 'Fantasy', 'Romance']",Light novel
Yesterday wo Utatte,2020,6.87,Finished,12,"['Drama', 'Romance']",Manga
Just Because!,2017,7.23,Finished,12,"['Drama', 'Romance']",Original
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,2013,6.81,Finished,12,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",Light novel
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",2008,7.93,Finished,1,"['Drama', 'Romance']",Visual novel
Kono Bijutsu-bu ni wa Mondai ga Aru!,2016,7.18,Finished,12,"['Comedy', 'Romance']",Manga
Maji de Watashi ni Koi Shinasai!,2011,6.67,Finished,12,"['Action', 'Comedy', 'Romance', 'Ecchi']",Visual novel
Oniichan dakedo Ai sae Areba Kankeinai yo ne!,2012,6.43,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Light novel
Koi wa Ameagari no You ni,2018,7.49,Finished,12,"['Drama', 'Romance']",Manga
Yuragi-sou no Yuuna-san,2018,7.0,Finished,12,"['Comedy', 'Romance', 'Supernatural', 'Ecchi']",Manga
Horimiya: Piece,2023,8.2,Finished,13,['Romance'],Manga
Air,2005,7.28,Finished,12,"['Drama', 'Romance', 'Supernatural']",Visual novel
Bokutachi wa Benkyou ga Dekinai!,2019,7.34,Finished,13,"['Comedy', 'Romance']",Source
Okusama ga Seitokaichou!,2015,6.57,Finished,12,"['Comedy', 'Romance', 'Ecchi']",Manga
Fuuka,2017,6.5,Finished,12,"['Drama', 'Romance', 'Ecchi']",Manga
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,2023,7.82,Finished,12,['Romance'],Light novel
Amnesia,2013,5.98,Finished,12,"['Fantasy', 'Mystery', 'Romance']",Visual novel
"Fuufu Ijou, Koibito Miman.",2022,7.59,Finished,12,['Romance'],Manga
Otome Game Sekai wa Mob ni Kibishii Sekai desu,2022,7.34,Finished,12,"['Action', 'Fantasy', 'Romance']",Light novel
