Anime Title,Year Aired,Rating,Status,Number of Episode,Genre,Source
Kyoto Teramachi Sanjou no Holmes,2018,6.74,Finished,12,"['Drama', 'Mystery']",Novel
Meitantei Conan Movie 02: 14-banme no Target,1998,7.88,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Hakkenden: Touhou Hakken Ibun 2nd Season,2013,7.61,Finished,13,"['Action', 'Fantasy', 'Mystery']",Manga
Meitantei Conan Movie 05: Tengoku e no Countdown,2001,8.12,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi,2018,7.11,Finished,1,"['Fantasy', 'Mystery', 'Supernatural']",Light novel
Mouryou no Hako,2008,7.16,Finished,13,"['Mystery', 'Supernatural', 'Suspense']",Novel
Meitantei Conan Movie 04: Hitomi no Naka no Ansatsusha,2000,8.03,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Wu Liuqi: Xuanwu Guo Pian,2021,8.3,Finished,10,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",Original
Rental Magica,2007,7,Finished,24,"['Action', 'Fantasy', 'Mystery']",Light novel
Gyo,2011,5.33,Finished,1,"['Drama', 'Horror', 'Mystery', 'Sci-Fi']",Manga
Koi to Producer: EVOL×LOVE,2020,6.18,Finished,12,"['Mystery', 'Romance', 'Sci-Fi']",Game
Jigoku Shoujo: Yoi no Togi,2017,6.6,Finished,6,"['Horror', 'Mystery', 'Supernatural']",Original
Le Chevalier D'Eon,2006,7.18,Finished,24,"['Mystery', 'Supernatural']",Original
Meitantei Conan Movie 13: Shikkoku no Chaser,2009,8.21,Finished,1,"['Action', 'Mystery']",Manga
Amatsuki,2008,6.87,Finished,13,"['Action', 'Fantasy', 'Mystery']",Manga
Hidan no Aria: Butei ga Kitarite Onsen Kenshuu,2011,6.75,Finished,1,"['Action', 'Comedy', 'Mystery', 'Romance']",Light novel
18if,2017,6.13,Finished,13,"['Mystery', 'Supernatural']",Mixed media
M3: Sono Kuroki Hagane,2014,6.57,Finished,24,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense']",Source
Meitantei Conan Movie 14: Tenkuu no Lost Ship,2010,8.11,Finished,1,"['Action', 'Mystery']",Manga
Kamikaze Kaitou Jeanne,1999,7.46,Finished,44,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural']",Manga
Meitantei Conan Movie 08: Ginyoku no Magician,2004,8.06,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Meitantei Conan Movie 10: Tantei-tachi no Requiem,2006,8.03,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Yami no Matsuei,2000,7.02,Finished,13,"['Boys Love', 'Fantasy', 'Horror', 'Mystery']",Manga
Durarara!!x2 Ketsu: Dufufufu!!,2016,7.55,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
El Cazador de la Bruja,2007,7.22,Finished,26,"['Adventure', 'Drama', 'Mystery']",Original
Durarara!!x2 Ten: Onoroke Chakapoko,2016,7.52,Finished,1,"['Action', 'Mystery', 'Supernatural']",Light novel
Muhyo to Rouji no Mahouritsu Soudan Jimusho,2018,6.71,Finished,12,"['Mystery', 'Supernatural']",Manga
Spiral: Suiri no Kizuna,2002,7.22,Finished,25,"['Drama', 'Mystery']",Manga
Meitantei Conan Movie 07: Meikyuu no Crossroad,2003,7.8,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Bakemonogatari Recap,2009,7.29,Finished,1,"['Mystery', 'Romance', 'Supernatural']",Light novel
Meitantei Conan Movie 09: Suihei Senjou no Strategy,2005,7.79,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Yakusoku no Neverland: Michishirube,2021,4.72,Finished,1,"['Fantasy', 'Mystery', 'Sci-Fi', 'Suspense']",Manga
Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,2013,7.45,Finished,1,"['Drama', 'Mystery', 'Supernatural']",Manga
Phi Brain: Kami no Puzzle - Orpheus Order-hen,2012,7.26,Finished,25,"['Action', 'Mystery', 'Suspense']",Original
Meitantei Conan Movie 15: Chinmoku no Quarter,2011,8.01,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana,2019,6.08,Finished,12,"['Action', 'Fantasy', 'Mystery']",Original
Kara no Kyoukai Remix: Gate of Seventh Heaven,2009,7.54,Finished,1,"['Action', 'Mystery', 'Romance', 'Suspense']",Light novel
Meitantei Conan Movie 12: Senritsu no Full Score,2008,7.78,Finished,1,"['Adventure', 'Comedy', 'Mystery']",Manga
Koukaku Kidoutai: Shin Movie,2015,7.43,Finished,1,"['Action', 'Award Winning', 'Mystery', 'Sci-Fi']",Manga
